Wavelength,ESUN
378.546737226942,1152.5896738947604
382.07534145628387,1023.3951100650281
385.6027786147574,989.2415200794209
389.1290487023628,1090.4464157565092
392.65415171909996,1065.8026714776931
396.178087664969,1140.5568501885175
399.7008565399697,1499.0160358021508
403.2224583441023,1691.8276676217001
406.7428930773666,1699.7574111773124
410.2621607397628,1742.9078119322685
413.7802613312907,1785.7534659657497
417.2971948519504,1774.3320973322684
420.8129613017419,1756.400286623424
424.32756068066516,1715.393263109515
427.84099298872025,1610.7240328080816
431.35325822590704,1584.7784282912548
434.8643563922258,1725.6277831872826
438.3742874876762,1800.0603258268327
441.8830515122585,1889.3975092267735
445.3906484659725,1964.0686607278096
448.8970783488183,2033.7249566646178
452.40234116079586,2056.5255505898745
455.9064369019053,2059.2908446309134
459.4093655721465,2075.720756489569
462.91112717151947,2076.7042847903317
466.4117217000242,2047.9430721703247
469.91114915766076,2040.9159100450815
473.4094095444291,2063.506051077739
476.9065028603293,2085.852122082298
480.4024291053612,2086.00891828566
483.8971882795249,1995.6932713118479
487.39078038282037,1920.857303227309
490.8832054152477,1972.4559620446748
494.3744633768068,2008.3867751634853
497.8645542674976,1988.8675211059096
501.35347808732035,1925.2734724433838
504.84123483627474,1965.219025560486
508.32782451436105,1973.6897532425962
511.8132471215791,1949.3577822624707
515.2975026579289,1844.20463455632
518.7805911234105,1789.1213634764097
522.262512518024,1890.3482372639648
525.7432668417691,1882.3692106589697
529.222854094646,1918.9115400746514
532.701274276655,1924.3303467630162
536.1785273877954,1924.1668514386242
539.6546134280678,1883.667282245027
543.129532397472,1891.7565420495196
546.6032842960079,1900.8890234640953
550.0758691236756,1896.6830766736982
553.547286880475,1898.2464405741284
557.0175375664064,1865.3205043798982
560.4866211814696,1841.478737694255
563.9545377256645,1853.5657823762674
567.4212871989912,1847.1537901785891
570.8868696014496,1843.001853874845
574.3512849330399,1867.1672008214641
577.8145331937618,1842.745530560671
581.2766143836157,1847.631295034652
584.7375285026014,1837.0066804644334
588.1972755507188,1779.5436556859163
591.655855527968,1787.9158314526617
595.1132684343489,1804.1127134282865
598.5695142698618,1783.9718876482827
602.0245930345062,1760.8869950266903
605.4785047282827,1768.9263972145009
608.9312493511908,1738.6906239545838
612.3828269032307,1707.2160566706418
615.8332373844025,1675.138942248778
619.2824807947061,1690.8013190416268
622.7305571341415,1675.0458963720007
626.1774664027084,1660.6426462254208
629.6232086004073,1662.1736050048553
633.067783727238,1639.7819876459996
636.5111917832005,1638.264140901965
639.9534327682948,1619.2571693344341
643.3945066825208,1605.142681636776
646.8344135258786,1595.5644628924051
650.2731532983684,1581.3944198715049
653.7107259999898,1552.0464203622935
657.1471316307429,1469.4819065114295
660.582370190628,1548.2375616121315
664.0164416796447,1551.5753520977285
667.4493460977933,1543.6953116371174
670.8810834450737,1527.879332525485
674.311653721486,1517.4308824210998
677.7410569270298,1510.1083191233336
681.1692930617056,1497.6292703084277
684.5963621255131,1477.1881416976423
688.0222641184524,1475.1332401991622
691.4469990405236,1463.438414914936
694.8705668917265,1451.0262712890778
698.2929676720611,1431.9281206630221
701.7142013815277,1409.5762496495115
705.1342680201259,1411.3893521987598
708.5531675878559,1400.8491881521927
711.9709000847179,1384.6957661732254
715.3874655107115,1369.2514250867976
718.8028638658369,1349.4732617701125
722.2170951500941,1342.5242163497096
725.630159363483,1340.3614429695392
729.0420565060039,1321.2257934903564
732.4527865776565,1317.828901998062
735.8623495784409,1307.8917390995346
739.270745508357,1283.0218134713655
742.677974367405,1273.8747764156794
746.0840361555848,1278.189429508927
749.4889308728963,1266.3235469089263
752.8926585193398,1257.3638280703635
756.2952190949148,1249.4826435986872
759.6966125996217,1240.7804988140356
763.0968390334604,1232.8716820565478
766.4958983964309,1210.5261143011162
769.8937906885333,1204.9343971648505
773.2905159097672,1196.9810104822113
776.6860740601331,1191.186098071928
780.0804651396306,1184.321877437725
783.4736891482602,1177.478969491022
786.8657460860215,1172.3125803407545
790.2566359529144,1158.83425680156
