Wavelength,SSI
350.0,1210.6369893816304
350.001,1212.4677586523117
350.002,1214.3504591131712
350.00300000000004,1216.292084191128
350.004,1218.2998471065187
350.005,1220.3810809669983
350.006,1222.5430689271725
350.007,1224.792954273108
350.00800000000004,1227.1375605913565
350.009,1229.5832818722438
350.01,1232.1359925943816
350.01099999999997,1234.8008878749094
350.012,1237.5824435070563
350.01300000000003,1240.4842760915994
350.014,1243.5091530274774
350.015,1246.658882615079
350.01599999999996,1249.9342940750241
350.017,1253.3352175669454
350.01800000000003,1256.8604941800963
350.019,1260.5079759333514
350.02,1264.2745057939874
350.021,1268.1560075931718
350.022,1272.147446063522
350.023,1276.2429267452073
350.024,1280.4357359483852
350.025,1284.7183307625926
350.026,1289.0824589440654
350.02700000000004,1293.5191689063477
350.028,1298.01886966395
350.029,1302.5713807854008
350.03,1307.1659623650742
350.031,1311.79140493868
350.03200000000004,1316.4360095020438
350.033,1321.0876774265955
350.034,1325.7339604124202
350.03499999999997,1330.3620405070353
350.036,1334.9588300114929
350.03700000000003,1339.5109814709879
350.038,1344.004927637297
350.039,1348.4269214312194
350.03999999999996,1352.7631158674562
350.041,1356.9995440733887
350.04200000000003,1361.1222291857887
350.043,1365.117204332038
350.044,1368.970572573788
350.045,1372.6685868318377
350.046,1376.1976698673545
350.047,1379.5445341691923
350.048,1382.696221916331
350.049,1385.640194893366
350.05,1388.364394434167
350.05100000000004,1390.8573712998068
350.052,1393.1083256410002
350.053,1395.1072268854236
350.054,1396.8449036532031
350.055,1398.313133672404
350.05600000000004,1399.5047536757397
350.057,1400.4137293348397
350.058,1401.0353151100087
350.05899999999997,1401.3660642408372
350.06,1401.4039985865677
350.06100000000004,1401.148648588536
350.062,1400.6011232044386
350.063,1399.764209814434
350.06399999999996,1398.6423642305303
350.065,1397.241810602685
350.06600000000003,1395.570491465757
350.067,1393.6380677395032
350.068,1391.455898747363
350.069,1389.0369223291361
350.07,1386.3955948973253
350.071,1383.5477615592063
350.072,1380.5104463140226
350.073,1377.3016722220052
350.074,1373.940251601566
350.07500000000005,1370.4455162828315
350.076,1366.8370478611741
350.077,1363.134357997699
350.078,1359.356588700943
350.079,1355.5221926273632
350.08000000000004,1351.6486233724272
350.081,1347.7519758086585
350.082,1343.8467263297796
350.08299999999997,1339.945403160585
350.084,1336.0583565729153
350.08500000000004,1332.1934991297983
350.086,1328.3561558263027
350.087,1324.5488742679488
350.08799999999997,1320.7713447458302
350.089,1317.0203702647843
350.09000000000003,1313.2898565527807
350.091,1309.5709019764138
350.092,1305.851917428217
350.09299999999996,1302.118786176424
350.094,1298.3551635832641
350.095,1294.5427168796004
350.096,1290.6614848268832
350.097,1286.6902673509383
350.098,1282.6069951945317
350.099,1278.3892494290828
350.1,1274.0146311072313
350.101,1269.4613107463801
350.102,1264.7084379437006
350.103,1259.7366109347977
350.10400000000004,1254.5283361617637
350.105,1249.0684478787948
350.106,1243.3444278517054
350.10699999999997,1237.3467750104962
350.108,1231.0693051676487
350.10900000000004,1224.5093008772742
350.11,1217.6677412191414
350.111,1210.549341761116
350.11199999999997,1203.1626244934287
350.113,1195.5198179225779
350.11400000000003,1187.6367771464502
350.115,1179.532814013952
350.116,1171.2304173879327
350.11699999999996,1162.7549933893276
350.118,1154.1344857539832
350.119,1145.3989961894808
350.12,1136.5803447883022
350.121,1127.7116104597735
350.122,1118.8266413901829
350.123,1109.959575493505
350.124,1101.1443408809066
350.125,1092.4141463396431
350.126,1083.8010217650033
350.127,1075.3353486016454
350.12800000000004,1067.045440237981
350.129,1058.9571523723912
350.13,1051.093523351269
350.131,1043.474464460113
350.132,1036.1165101582826
350.13300000000004,1029.0326082761871
350.134,1022.2319601655305
350.135,1015.71995076504
350.13599999999997,1009.4980786661982
350.137,1003.5640260475122
350.13800000000003,997.9116486839032
350.139,992.5311857495141
350.14,987.4093896956384
350.14099999999996,982.5297660253573
350.142,977.8728730118357
350.14300000000003,973.4166114260101
350.144,969.1365841985429
350.145,965.006536006658
350.146,960.9987429079271
350.147,957.0844619177127
350.148,953.2344804927135
350.149,949.4195661084079
350.15,945.6109857707692
350.151,941.7810854716372
350.15200000000004,937.9037697379947
350.153,933.9550710967291
350.154,929.9136595957375
350.155,925.7613723062503
350.156,921.4836529096663
350.15700000000004,917.0700911904859
350.158,912.5147427358282
350.159,907.8165785128749
350.15999999999997,902.9798145589972
350.161,898.0140918127333
350.16200000000003,892.9347658414757
350.163,887.7629667851294
350.164,882.5256892716013
350.16499999999996,877.2556725294828
350.166,871.9913504349984
350.16700000000003,866.7765717749298
350.168,861.6603005283201
350.169,856.6961962608576
350.17,851.9421046037721
350.171,847.459467807852
350.172,843.3126553725815
350.173,839.5681947691797
350.174,836.2939622012007
350.175,833.5583134214722
350.17600000000004,831.4291745865976
350.177,829.973083158406
350.178,829.2542288054037
350.179,829.3335142854452
350.18,830.2675963471842
350.18100000000004,832.1080065564036
350.182,834.9003020941758
350.183,838.6832465268517
350.18399999999997,843.4881504258084
350.185,849.3382119871974
350.18600000000004,856.2480974263286
350.187,864.2234514377868
350.188,873.2607173644531
350.18899999999996,883.346997328967
350.19,894.4600022806763
350.19100000000003,906.5682617984462
350.192,919.6313538746846
350.193,933.6002845585191
350.194,948.4180574205601
350.195,964.0202729894937
350.196,980.335848075993
350.197,997.2878449933398
350.198,1014.7943707123123
350.199,1032.7694760160769
350.20000000000005,1051.1241845330037
350.201,1069.7674718164371
350.202,1088.6072644056846
350.203,1107.5514388870024
350.204,1126.5088209545875
350.20500000000004,1145.390024621805
350.206,1164.1084113197387
350.207,1182.580799230492
350.20799999999997,1200.72822257354
350.209,1218.476531042322
350.21000000000004,1235.7569193065642
350.211,1252.506336627288
350.212,1268.6677865751028
350.21299999999997,1284.1905568142367
350.214,1299.0303190086327
350.21500000000003,1313.1490988501214
350.216,1326.5152061241495
350.217,1339.103004925754
350.21799999999996,1350.8927138473643
350.219,1361.8699763825762
350.22,1372.0255312360275
350.221,1381.3547327741219
350.222,1389.8570514945352
350.223,1397.535584486332
350.224,1404.39653591825
350.225,1410.4487175082074
350.226,1415.7030090303683
350.227,1420.171968681357
350.228,1423.8693035779347
350.22900000000004,1426.8095900199223
350.23,1429.0078938470256
350.231,1430.4795106829772
350.23199999999997,1431.2398160763896
350.233,1431.3041056509946
350.23400000000004,1430.6875551432072
350.235,1429.4052603645623
350.236,1427.4722671735453
350.23699999999997,1424.9037812784002
350.238,1421.715288124448
350.23900000000003,1417.922882584212
350.24,1413.5434587790062
350.241,1408.5950497596718
350.24199999999996,1403.0971671873128
350.243,1397.0710610891533
350.244,1390.5400795204926
350.245,1383.5299682830023
350.246,1376.0690707369245
350.247,1368.1886475005865
350.248,1359.9229863471114
350.249,1351.3095520635654
350.25,1342.3890663758361
350.251,1333.2054579955852
350.252,1323.8058626202462
350.25300000000004,1314.240403139609
350.254,1304.5619798330106
350.255,1294.8260305946983
350.256,1285.0900513845565
350.257,1275.4132765285883
350.25800000000004,1265.8560593011057
350.259,1256.4793624036217
350.26,1247.3441385470403
350.26099999999997,1238.5106410995734
350.262,1230.0376947722195
350.26300000000003,1221.9820462291218
350.264,1214.3975248763356
350.265,1207.3343734909704
350.26599999999996,1200.838468953613
350.267,1194.950612915032
350.26800000000003,1189.7058324534808
350.269,1185.1327806381082
350.27,1181.2531271017529
350.271,1178.0810385292305
350.272,1175.6227490611088
350.273,1173.8762505848015
350.274,1172.8309830256605
350.275,1172.4677444314887
350.276,1172.758611047659
350.27700000000004,1173.6670472138248
350.278,1175.1480752042878
350.279,1177.1486049181224
350.28,1179.607843494183
350.281,1182.4578148228168
350.28200000000004,1185.6240189261173
350.283,1189.0261612724446
350.284,1192.5789620158266
350.28499999999997,1196.1930851226782
350.286,1199.7760974703504
350.28700000000003,1203.2335078705573
350.288,1206.4698060928058
350.289,1209.389601793921
350.28999999999996,1211.8987334757437
350.291,1213.9053674522174
350.29200000000003,1215.3211167976963
